,Front Left,,,,,Front Right,,,,,Rear Left,,,,,Rear Right,,,,,Base,,,,,,Spine,,,,,
Step,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Fwd/Back (X),In/Out (Y),Up/Down (Z),Roll,Pitch,Yaw,Joint 1,Joint 2,,,,
1,1.,0.,0.,0.,0.,0.348,0.,0.,0.,0.,0.71,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
2,1.,0.,0.,0.,0.,0.333,0.,0.,0.,0.,0.696,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
3,1.,0.,0.,0.,0.,0.319,0.,0.,0.,0.,0.681,0.,0.,0.,0.,0.,0.,0.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
4,1.,0.,0.,0.,0.,0.304,0.,0.,0.,0.,0.667,0.,0.,0.,0.,0.,0.,0.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
5,1.,0.,0.,0.,0.,0.29,0.,0.,0.,0.,0.652,0.,0.,0.,0.,0.,0.,0.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
6,1.,0.,0.,0.,0.,0.275,0.,0.,0.,0.,0.638,0.,0.,0.,0.,0.05,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
7,0.986,0.,0.,0.,0.,0.261,0.,0.,0.,0.,0.623,0.,0.,0.,0.,0.1,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
8,0.971,0.,0.,0.,0.,0.246,0.,0.,0.,0.,0.609,0.,0.,0.,0.,0.15,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
9,0.957,0.,0.,0.,0.,0.232,0.,0.,0.,0.,0.594,0.,0.,0.,0.,0.2,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
10,0.942,0.,0.,0.,0.,0.217,0.,0.,0.,0.,0.58,0.,0.,0.,0.,0.25,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
11,0.928,0.,0.,0.,0.,0.203,0.,0.,0.,0.,0.565,0.,0.,0.,0.,0.3,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
12,0.913,0.,0.,0.,0.,0.188,0.,0.,0.,0.,0.551,0.,0.,0.,0.,0.35,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
13,0.899,0.,0.,0.,0.,0.174,0.,0.,0.,0.,0.536,0.,0.,0.,0.,0.4,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
14,0.884,0.,0.,0.,0.,0.159,0.,0.,0.,0.,0.522,0.,0.,0.,0.,0.45,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
15,0.87,0.,0.,0.,0.,0.145,0.,0.,0.,0.,0.507,0.,0.,0.,0.,0.5,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
16,0.855,0.,0.,0.,0.,0.13,0.,0.,0.,0.,0.493,0.,0.,0.,0.,0.55,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
17,0.841,0.,0.,0.,0.,0.116,0.,0.,0.,0.,0.478,0.,0.,0.,0.,0.6,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
18,0.826,0.,0.,0.,0.,0.101,0.,0.,0.,0.,0.464,0.,0.,0.,0.,0.65,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
19,0.812,0.,0.,0.,0.,0.087,0.,0.,0.,0.,0.449,0.,0.,0.,0.,0.7,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
20,0.797,0.,0.,0.,0.,0.072,0.,0.,0.,0.,0.435,0.,0.,0.,0.,0.75,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
21,0.783,0.,0.,0.,0.,0.058,0.,0.,0.,0.,0.42,0.,0.,0.,0.,0.8,0.,0.8,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
22,0.768,0.,0.,0.,0.,0.043,0.,0.,0.,0.,0.406,0.,0.,0.,0.,0.85,0.,0.6,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
23,0.754,0.,0.,0.,0.,0.029,0.,0.,0.,0.,0.391,0.,0.,0.,0.,0.9,0.,0.4,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
24,0.739,0.,0.,0.,0.,0.014,0.,0.,0.,0.,0.377,0.,0.,0.,0.,0.95,0.,0.2,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
25,0.725,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.362,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
26,0.71,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.348,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
27,0.696,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.333,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
28,0.681,0.,0.,0.,0.,0.,0.,0.4,0.,0.,0.319,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
29,0.667,0.,0.,0.,0.,0.,0.,0.6,0.,0.,0.304,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
30,0.652,0.,0.,0.,0.,0.,0.,0.8,0.,0.,0.29,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
31,0.638,0.,0.,0.,0.,0.05,0.,1.,0.,0.,0.275,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
32,0.623,0.,0.,0.,0.,0.1,0.,1.,0.,0.,0.261,0.,0.,0.,0.,0.986,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
33,0.609,0.,0.,0.,0.,0.15,0.,1.,0.,0.,0.246,0.,0.,0.,0.,0.971,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
34,0.594,0.,0.,0.,0.,0.2,0.,1.,0.,0.,0.232,0.,0.,0.,0.,0.957,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
35,0.58,0.,0.,0.,0.,0.25,0.,1.,0.,0.,0.217,0.,0.,0.,0.,0.942,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
36,0.565,0.,0.,0.,0.,0.3,0.,1.,0.,0.,0.203,0.,0.,0.,0.,0.928,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
37,0.551,0.,0.,0.,0.,0.35,0.,1.,0.,0.,0.188,0.,0.,0.,0.,0.913,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
38,0.536,0.,0.,0.,0.,0.4,0.,1.,0.,0.,0.174,0.,0.,0.,0.,0.899,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
39,0.522,0.,0.,0.,0.,0.45,0.,1.,0.,0.,0.159,0.,0.,0.,0.,0.884,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
40,0.507,0.,0.,0.,0.,0.5,0.,1.,0.,0.,0.145,0.,0.,0.,0.,0.87,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
41,0.493,0.,0.,0.,0.,0.55,0.,1.,0.,0.,0.13,0.,0.,0.,0.,0.855,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
42,0.478,0.,0.,0.,0.,0.6,0.,1.,0.,0.,0.116,0.,0.,0.,0.,0.841,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
43,0.464,0.,0.,0.,0.,0.65,0.,1.,0.,0.,0.101,0.,0.,0.,0.,0.826,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
44,0.449,0.,0.,0.,0.,0.7,0.,1.,0.,0.,0.087,0.,0.,0.,0.,0.812,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
45,0.435,0.,0.,0.,0.,0.75,0.,1.,0.,0.,0.072,0.,0.,0.,0.,0.797,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
46,0.42,0.,0.,0.,0.,0.8,0.,0.8,0.,0.,0.058,0.,0.,0.,0.,0.783,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
47,0.406,0.,0.,0.,0.,0.85,0.,0.6,0.,0.,0.043,0.,0.,0.,0.,0.768,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
48,0.391,0.,0.,0.,0.,0.9,0.,0.4,0.,0.,0.029,0.,0.,0.,0.,0.754,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
49,0.377,0.,0.,0.,0.,0.95,0.,0.2,0.,0.,0.014,0.,0.,0.,0.,0.739,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
50,0.362,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.725,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
51,0.348,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.71,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
52,0.333,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.2,0.,0.,0.696,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
53,0.319,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.4,0.,0.,0.681,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
54,0.304,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.6,0.,0.,0.667,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
55,0.29,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.,0.,0.8,0.,0.,0.652,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
56,0.275,0.,0.,0.,0.,1.,0.,0.,0.,0.,0.05,0.,1.,0.,0.,0.638,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
57,0.261,0.,0.,0.,0.,0.986,0.,0.,0.,0.,0.1,0.,1.,0.,0.,0.623,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
58,0.246,0.,0.,0.,0.,0.971,0.,0.,0.,0.,0.15,0.,1.,0.,0.,0.609,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
59,0.232,0.,0.,0.,0.,0.957,0.,0.,0.,0.,0.2,0.,1.,0.,0.,0.594,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
60,0.217,0.,0.,0.,0.,0.942,0.,0.,0.,0.,0.25,0.,1.,0.,0.,0.58,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
61,0.203,0.,0.,0.,0.,0.928,0.,0.,0.,0.,0.3,0.,1.,0.,0.,0.565,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
62,0.188,0.,0.,0.,0.,0.913,0.,0.,0.,0.,0.35,0.,1.,0.,0.,0.551,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
63,0.174,0.,0.,0.,0.,0.899,0.,0.,0.,0.,0.4,0.,1.,0.,0.,0.536,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
64,0.159,0.,0.,0.,0.,0.884,0.,0.,0.,0.,0.45,0.,1.,0.,0.,0.522,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,-45.,,,,
